GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
java4part3task1,ru.netology.exceptions,NotRegisteredException,0,4,0,0,0,2,0,1,0,1
java4part3task1,ru.netology.manager,GameManager,0,102,1,17,0,28,1,12,0,4
